numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
36369;Koeleria vallesiana;7600601;42.57
36289;Equisetum telmateia;2687943;11.7
36264;Acer monspessulanum;7262958;5.19
36255;Carex rostrata;2726725;1.67
36235;Lavandula angustifolia;2927305;51.56
36213;Veratrum album;2742119;98.36
36132;Phillyrea angustifolia;7325947;62.37
36106;Hypericum humifusum;3189543;5.56
36059;Poa compressa;2704265;3.76
36053;Erica scoparia;7946667;17.39
36041;Epipactis palustris;5319226;16.58
35923;Datura stramonium;2928751;98.72
35749;Elymus caninus;5290319;22.49
35746;Lamium amplexicaule;2926679;8.15
35716;Ranunculus polyanthemos;7277831;3.02
35681;Trifolium medium;5358812;2.67
35655;Stellaria alsine;5384606;9.9
35637;Acer negundo;3189866;5.1
35594;Lycopsis arvensis;5341197;100.0
35513;Andryala integrifolia;3105508;98.72
35459;Pulmonaria longifolia;7294681;39.72
35332;Prunus padus;3021037;4.21
35326;Galium lucidum;2913863;3.01
35220;Koeleria pyramidata;2705921;41.22
35119;Globularia cordifolia;7265184;28.87
35029;Laurus nobilis;3034015;100.0
34947;Cardamine flexuosa;3046076;9.08
34934;Arctostaphylos uva-ursi;2882580;91.75
34866;Polystichum aculeatum;7319269;37.05
34807;Crepis sancta;5403605;9.32
34795;Carex spicata;2722210;1.6
34789;Nasturtium officinale;7701037;96.79
34720;Pseudoscleropodium purum;2682836;100.0
34720;Spergularia rubra;3085633;68.28
34671;Iris foetidissima;5298765;15.72
34602;Daphne mezereum;5420852;25.81
34540;Veronica montana;8328247;3.29
34412;Geranium sanguineum;2890920;3.36
34343;Sagina procumbens;3085402;39.74
34235;Luzula nivea;2700768;8.58
34197;Dactylorhiza incarnata;8248593;12.92
34185;Ailanthus altissima;3190653;100.0
34162;Carex pallescens;2726592;1.58
34124;Fraxinus angustifolia;7325877;6.93
34071;Asparagus officinalis;2768885;41.77
33989;Arabis hirsuta;9202524;37.42
33950;Valerianella carinata;2888769;28.74
33732;Foeniculum vulgare;3034922;100.0
33690;Achnatherum calamagrostis;4142326;81.9
33587;Polygonatum verticillatum;2770004;16.99
33530;Sparganium erectum;7679536;57.78
33483;Lysimachia nemorum;7702019;6.98
33482;Prunella grandiflora;7666664;11.2
